Office,State,state_abb,CD,district_num,district_id,ID
House,Illinois,IL,IL-13,13,IL13,145
House,Illinois,IL,IL-14,14,IL14,146
House,Illinois,IL,IL-15,15,IL15,147
House,Illinois,IL,IL-16,16,IL16,148
House,Illinois,IL,IL-17,17,IL17,149
House,Illinois,IL,IL-18,18,IL18,150
House,Indiana,IN,IN-01,1,IN01,151
House,Indiana,IN,IN-02,2,IN02,152
House,Indiana,IN,IN-03,3,IN03,153
House,Indiana,IN,IN-04,4,IN04,154
House,Indiana,IN,IN-05,5,IN05,155
House,Indiana,IN,IN-06,6,IN06,156
House,Indiana,IN,IN-07,7,IN07,157
House,Indiana,IN,IN-08,8,IN08,158
House,Indiana,IN,IN-09,9,IN09,159
House,Iowa,IA,IA-01,1,IA01,160
House,Iowa,IA,IA-02,2,IA02,161
House,Iowa,IA,IA-03,3,IA03,162
House,Iowa,IA,IA-04,4,IA04,163
House,Kansas,KS,KS-01,1,KS01,164
House,Kansas,KS,KS-02,2,KS02,165
House,Kansas,KS,KS-03,3,KS03,166
House,Kansas,KS,KS-04,4,KS04,167
House,Kentucky,KY,KY-01,1,KY01,168
House,Kentucky,KY,KY-02,2,KY02,169
House,Kentucky,KY,KY-03,3,KY03,170
House,Kentucky,KY,KY-04,4,KY04,171
House,Kentucky,KY,KY-05,5,KY05,172
House,Kentucky,KY,KY-06,6,KY06,173
House,Louisiana,LA,LA-01,1,LA01,174
House,Louisiana,LA,LA-02,2,LA02,175
House,Louisiana,LA,LA-03,3,LA03,176
House,Louisiana,LA,LA-04,4,LA04,177
House,Louisiana,LA,LA-05,5,LA05,178
House,Louisiana,LA,LA-06,6,LA06,179
House,Maine,ME,ME-01,1,ME01,180
House,Maine,ME,ME-02,2,ME02,181
House,Maryland,MD,MD-01,1,MD01,182
House,Maryland,MD,MD-02,2,MD02,183
House,Maryland,MD,MD-03,3,MD03,184
House,Maryland,MD,MD-04,4,MD04,185
House,Maryland,MD,MD-07,7,MD07,186
House,Maryland,MD,MD-05,5,MD05,187
House,Maryland,MD,MD-06,6,MD06,188
House,Maryland,MD,MD-08,8,MD08,189
House,Massachusetts,MA,MA-01,1,MA01,190
House,Massachusetts,MA,MA-02,2,MA02,191
House,Massachusetts,MA,MA-03,3,MA03,192
House,Massachusetts,MA,MA-04,4,MA04,193
House,Massachusetts,MA,MA-05,5,MA05,194
House,Massachusetts,MA,MA-06,6,MA06,195
House,Massachusetts,MA,MA-07,7,MA07,196
House,Massachusetts,MA,MA-08,8,MA08,197
House,Massachusetts,MA,MA-09,9,MA09,198
House,Michigan,MI,MI-01,1,MI01,199
House,Michigan,MI,MI-02,2,MI02,200
House,Michigan,MI,MI-03,3,MI03,201
House,Michigan,MI,MI-04,4,MI04,202
House,Michigan,MI,MI-05,5,MI05,203
House,Michigan,MI,MI-06,6,MI06,204
House,Michigan,MI,MI-07,7,MI07,205
House,Michigan,MI,MI-08,8,MI08,206
House,Michigan,MI,MI-09,9,MI09,207
House,Michigan,MI,MI-10,10,MI10,208
House,Michigan,MI,MI-11,11,MI11,209
House,Michigan,MI,MI-12,12,MI12,210
House,Michigan,MI,MI-13,13,MI13,211
House,Michigan,MI,MI-14,14,MI14,212
House,Minnesota,MN,MN-01,1,MN01,213
House,Minnesota,MN,MN-02,2,MN02,214
House,Minnesota,MN,MN-03,3,MN03,215
House,Minnesota,MN,MN-04,4,MN04,216
House,Minnesota,MN,MN-05,5,MN05,217
House,Minnesota,MN,MN-06,6,MN06,218
House,Minnesota,MN,MN-07,7,MN07,219
House,Minnesota,MN,MN-08,8,MN08,220
House,Mississippi,MS,MS-01,1,MS01,221
House,Mississippi,MS,MS-02,2,MS02,222
House,Mississippi,MS,MS-03,3,MS03,223
House,Mississippi,MS,MS-04,4,MS04,224
House,Missouri,MO,MO-01,1,MO01,225
House,Missouri,MO,MO-02,2,MO02,226
House,Missouri,MO,MO-03,3,MO03,227
House,Missouri,MO,MO-04,4,MO04,228
House,Missouri,MO,MO-05,5,MO05,229
House,Missouri,MO,MO-06,6,MO06,230
House,Missouri,MO,MO-07,7,MO07,231
House,Missouri,MO,MO-08,8,MO08,232
House,Montana,MT,MT-AL,0,MT00,233
House,Nebraska,NE,NE-01,1,NE01,234
House,Nebraska,NE,NE-02,2,NE02,235
House,Nebraska,NE,NE-03,3,NE03,236
House,Nevada,NV,NV-01,1,NV01,237
House,Nevada,NV,NV-02,2,NV02,238
House,Nevada,NV,NV-03,3,NV03,239
House,Nevada,NV,NV-04,4,NV04,240
House,New Hampshire,NH,NH-01,1,NH01,241
House,New Hampshire,NH,NH-02,2,NH02,242
House,New Jersey,NJ,NJ-01,1,NJ01,243
House,New Jersey,NJ,NJ-02,2,NJ02,244
House,New Jersey,NJ,NJ-03,3,NJ03,245
House,New Jersey,NJ,NJ-04,4,NJ04,246
House,New Jersey,NJ,NJ-05,5,NJ05,247
House,New Jersey,NJ,NJ-06,6,NJ06,248
House,New Jersey,NJ,NJ-07,7,NJ07,249
House,New Jersey,NJ,NJ-08,8,NJ08,250
House,New Jersey,NJ,NJ-09,9,NJ09,251
House,New Jersey,NJ,NJ-11,11,NJ11,252
House,New Jersey,NJ,NJ-12,12,NJ12,253
House,New Jersey,NJ,NJ-10,10,NJ10,254
House,New Mexico,NM,NM-01,1,NM01,255
House,New Mexico,NM,NM-02,2,NM02,256
House,New Mexico,NM,NM-03,3,NM03,257
House,New York,NY,NY-01,1,NY01,258
House,New York,NY,NY-02,2,NY02,259
House,New York,NY,NY-03,3,NY03,260
House,New York,NY,NY-04,4,NY04,261
House,New York,NY,NY-05,5,NY05,262
House,New York,NY,NY-06,6,NY06,263
House,New York,NY,NY-07,7,NY07,264
House,New York,NY,NY-08,8,NY08,265
