state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
Tennessee,TN,TN-01,1,352,597638,563367,10163,15546,3407,4838,158,
Tennessee,TN,TN-02,2,353,577601,517521,11394,35636,7720,4973,339,
Tennessee,TN,TN-03,3,354,589291,498246,13604,64861,6456,5679,177,
Tennessee,TN,TN-04,4,355,549383,464135,16270,53604,8795,6177,188,
Tennessee,TN,TN-05,5,356,513576,407228,18277,71410,12493,3487,102,
Tennessee,TN,TN-06,6,357,569226,487977,14111,55304,5692,5553,262,
Tennessee,TN,TN-07,7,358,551761,418889,21034,94660,10103,5197,695,
Tennessee,TN,TN-08,8,359,572868,449321,10007,102791,6157,3756,151,
Tennessee,TN,TN-09,9,360,560960,175338,13906,360035,8810,3113,159,
Texas,TX,TX-01,1,361,549223,382117,48171,107928,4967,5717,410,
Texas,TX,TX-02,2,362,470761,300728,94386,54139,16074,3675,558,
Texas,TX,TX-03,3,363,477774,331247,50031,49240,42010,4311,184,
Texas,TX,TX-04,4,364,500207,367311,47818,45592,30869,7823,306,
Texas,TX,TX-05,5,365,485555,301667,85082,71650,20810,5550,208,
Texas,TX,TX-06,6,366,467679,277827,99540,71909,13470,4549,487,
Texas,TX,TX-07,7,367,447355,174719,94637,91238,83389,2663,100,
Texas,TX,TX-08,8,368,466217,273914,101265,63022,22769,4144,329,
Texas,TX,TX-09,9,369,438725,83124,108611,207106,37151,1881,107,
Texas,TX,TX-10,10,370,507746,340682,85847,58535,17340,3850,384,
Texas,TX,TX-11,11,371,512333,270239,166631,58288,9122,5386,1311,
Texas,TX,TX-12,12,372,512781,344359,90362,54899,17042,5317,188,
Texas,TX,TX-13,13,373,536386,372793,107163,38086,9831,7770,435,
Texas,TX,TX-14,14,374,531951,327458,94567,91343,13164,4646,113,
Texas,TX,TX-15,15,375,420113,93713,313147,6680,4825,1503,259,
Texas,TX,TX-16,16,376,470897,73637,369842,17709,5643,2571,666,
Texas,TX,TX-17,17,377,542093,343658,94734,87919,10804,4147,285,
Texas,TX,TX-18,18,378,456995,110899,132761,186029,24051,2468,244,
Texas,TX,TX-19,19,379,536761,314498,175335,35202,6083,5275,270,
Texas,TX,TX-20,20,380,529748,117508,363469,31914,12934,2364,596,
Texas,TX,TX-21,21,381,551267,368134,145710,20729,11281,4327,327,
Texas,TX,TX-22,22,382,469640,249475,111481,54970,49886,3161,160,
Texas,TX,TX-23,23,383,457205,158597,265653,18570,9189,4110,404,
Texas,TX,TX-24,24,384,524586,384517,62084,36972,33680,5763,1011,
Texas,TX,TX-25,25,385,539537,373013,81743,62998,14229,5353,1111,
Texas,TX,TX-26,26,386,489588,343049,63789,44420,31814,5198,507,
Texas,TX,TX-27,27,387,543787,238148,267626,26393,7305,3874,394,
Texas,TX,TX-28,28,388,459405,105936,319841,26122,4765,2362,199,
Texas,TX,TX-29,29,389,390430,54550,252408,70115,11536,1845,242,
Texas,TX,TX-30,30,390,484880,124327,103308,236686,16677,3118,193,
Texas,TX,TX-31,31,391,509981,350480,92218,43227,14674,6607,793,
Texas,TX,TX-32,32,392,460042,215003,97060,109621,32824,4850,201,
Texas,TX,TX-33,33,393,385533,92798,166515,103340,17899,2971,291,
Texas,TX,TX-34,34,394,423028,49906,367164,2605,2294,940,178,
Texas,TX,TX-35,35,395,486672,164427,231957,72482,12135,4054,350,
Texas,TX,TX-36,36,396,508330,310472,107583,66948,18026,4246,94,
Texas,TX,TX-37,37,397,545602,343790,121309,37068,36729,4719,149,
Texas,TX,TX-38,38,398,487945,300150,90844,50659,41981,3337,69,
Utah,UT,UT-01,1,399,538237,460148,49275,7469,12487,5118,1914,
Utah,UT,UT-02,2,400,521229,428882,55612,7369,13709,7761,6076,
Utah,UT,UT-03,3,401,545403,472216,37021,5436,12115,12287,3776,
Utah,UT,UT-04,4,402,478002,401283,47429,5245,12263,4528,4635,
Virginia,VA,VA-01,1,403,566906,441545,18568,78875,22572,4109,167,
Virginia,VA,VA-02,2,404,574154,372086,30341,135426,29221,4799,342,
Virginia,VA,VA-03,3,405,581570,264514,31891,259497,17221,5914,510,
Virginia,VA,VA-04,4,406,589916,281579,22419,267492,11760,5962,415,
Virginia,VA,VA-05,5,407,613125,451544,12417,134652,9757,4242,186,
Virginia,VA,VA-06,6,408,590687,507299,19820,50175,8551,3913,322,
Virginia,VA,VA-07,7,409,526122,326228,50918,116760,24794,4348,490,
Virginia,VA,VA-08,8,410,519346,324340,58969,71900,59276,2741,456,
Virginia,VA,VA-09,9,411,638119,577147,9554,39800,7100,3997,259,
Virginia,VA,VA-10,10,412,481228,315522,50073,49717,60808,2721,307,
Virginia,VA,VA-11,11,413,517134,312861,48200,47235,103626,3007,312,
Vermont,VT,VT-AL,0,414,497385,470717,8155,5884,6736,5658,149,
Washington,WA,WA-01,1,415,497395,378596,29735,15027,61504,6842,2004,
Washington,WA,WA-02,2,416,560204,449624,39018,15138,36519,15634,1363,
Washington,WA,WA-03,3,417,542719,464339,30058,11140,20678,11680,1846,
Washington,WA,WA-04,4,418,460711,321113,106523,6783,8574,15614,775,
Washington,WA,WA-05,5,419,566511,491603,30218,11919,14058,15416,1542,
Washington,WA,WA-06,6,420,587011,474753,32301,25405,27644,19999,3620,
Washington,WA,WA-07,7,421,577029,429277,33974,28907,71610,8253,1469,
Washington,WA,WA-08,8,422,523107,430862,30436,11698,36311,9693,1735,
Washington,WA,WA-09,9,423,489218,268833,35698,61853,102814,8637,6464,
Washington,WA,WA-10,10,424,540856,385416,43505,41468,43336,12751,8794,
Wisconsin,WI,WI-01,1,425,545737,456993,39819,35484,8293,4662,239,
Wisconsin,WI,WI-02,2,426,538631,476873,17406,22007,17902,3629,207,
Wisconsin,WI,WI-03,3,427,567176,534044,9304,7943,10562,5293,82,
Wisconsin,WI,WI-04,4,428,521023,272117,56491,169411,17079,5389,72,
Wisconsin,WI,WI-05,5,429,562416,517272,19769,10485,11300,3130,136,
Wisconsin,WI,WI-06,6,430,560096,517877,15098,11680,10652,4648,198,
Wisconsin,WI,WI-07,7,431,554338,520552,7343,4848,8030,13519,167,
Wisconsin,WI,WI-08,8,432,543040,493659,15786,8230,9591,15306,111,
West Virginia,WV,WV-01,1,433,718170,671095,6299,31382,4041,4664,112,
West Virginia,WV,WV-02,2,434,710325,664245,10764,24424,5302,4914,84,
Wyoming,WY,WY-AL,0,435,435402,381021,31849,5118,4567,11603,412,
