state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
Connecticut,CT,CT-04,4,85,471929,320898,68756,57734,22084,1702,180,
Connecticut,CT,CT-05,5,86,515447,387808,73426,36528,15097,2495,130,
Delaware,DE,DE-AL,0,87,723117,496684,40334,159695,19967,5705,257,
Florida,FL,FL-01,1,88,570531,433684,30280,78258,17325,8227,567,
Florida,FL,FL-02,2,89,605145,414121,28230,144156,10162,7118,424,
Florida,FL,FL-03,3,90,581403,417332,48450,97247,12566,4945,252,
Florida,FL,FL-04,4,91,550308,326975,34351,167645,15264,4736,297,
Florida,FL,FL-05,5,92,534015,392431,44804,66697,24692,3243,388,
Florida,FL,FL-06,6,93,595646,466282,47401,68369,8336,4756,358,
Florida,FL,FL-07,7,94,584081,405531,103496,52868,17390,3379,215,
Florida,FL,FL-08,8,95,595913,471805,51696,53810,12855,4168,454,
Florida,FL,FL-09,9,96,477735,179331,228797,47035,18368,2207,594,
Florida,FL,FL-10,10,97,532149,236922,134542,132110,23721,3055,404,
Florida,FL,FL-11,11,98,539036,373293,78109,63519,19333,3657,133,
Florida,FL,FL-12,12,99,583070,480835,60736,26000,9251,4377,438,
Florida,FL,FL-13,13,100,617937,505220,46355,42294,19231,3907,424,
Florida,FL,FL-14,14,101,562338,308081,124454,107479,17856,3172,382,
Florida,FL,FL-15,15,102,547761,338996,107214,77177,20156,3397,233,
Florida,FL,FL-16,16,103,545528,388328,78571,62015,12178,3213,329,
Florida,FL,FL-17,17,104,613887,514187,54180,32842,8471,3387,231,
Florida,FL,FL-18,18,105,555723,369482,102718,70081,7813,4564,280,
Florida,FL,FL-19,19,106,587637,474035,67440,33551,9687,2482,102,
Florida,FL,FL-20,20,107,490821,137073,89827,246878,12571,2261,154,
Florida,FL,FL-21,21,108,578128,431698,68941,63866,10178,2591,255,
Florida,FL,FL-22,22,109,532278,339988,98332,76138,13612,2506,376,
Florida,FL,FL-23,23,110,536316,359123,93809,62643,17128,2032,202,
Florida,FL,FL-24,24,111,483698,89679,156245,228228,6791,1565,314,
Florida,FL,FL-25,25,112,517166,209438,192546,87626,22631,2237,413,
Florida,FL,FL-26,26,113,446784,109797,304045,26684,4753,856,29,
Florida,FL,FL-27,27,114,467146,93839,331470,30646,9368,881,25,
Florida,FL,FL-28,28,115,464696,94265,315109,45657,8026,788,114,
Georgia,GA,GA-01,1,116,557429,351711,25016,166349,8653,4505,392,
Georgia,GA,GA-02,2,117,559300,249585,17750,280170,6650,3994,454,
Georgia,GA,GA-03,3,118,553442,393616,18727,126798,8992,3583,433,
Georgia,GA,GA-04,4,119,512158,168078,20367,300722,19278,3455,204,
Georgia,GA,GA-05,5,120,575931,228908,20051,302575,19404,2950,202,
Georgia,GA,GA-06,6,121,496961,380681,27956,51281,32750,2582,56,
Georgia,GA,GA-07,7,122,446115,194886,49962,145315,52243,2675,29,
Georgia,GA,GA-08,8,123,567112,359560,21517,174809,6943,3338,465,
Georgia,GA,GA-09,9,124,526824,407618,38732,54838,20752,4349,55,
Georgia,GA,GA-10,10,125,543279,384651,22053,122964,10085,3047,183,
Georgia,GA,GA-11,11,126,527903,375436,33165,97338,15818,5650,214,
Georgia,GA,GA-12,12,127,564746,321569,19164,210568,8695,3550,512,
Georgia,GA,GA-13,13,128,508829,118077,29494,342535,14757,3109,250,
Georgia,GA,GA-14,14,129,542235,424063,33639,74687,5150,4073,118,
Hawaii,HI,HI-01,1,130,506549,89680,38322,14117,278782,2816,29143,
Hawaii,HI,HI-02,2,131,513990,170404,50861,10318,150615,5242,54477,
Iowa,IA,IA-01,1,132,593245,535165,21939,21740,9820,3960,236,
Iowa,IA,IA-02,2,133,598759,553691,12517,20892,6715,3965,433,
Iowa,IA,IA-03,3,134,560093,495454,22461,23545,14208,3586,369,
Iowa,IA,IA-04,4,135,579754,528790,26375,11391,8012,4648,389,
Idaho,ID,ID-01,1,136,640279,561537,49941,4276,8959,13541,940,
Idaho,ID,ID-02,2,137,615061,531866,53661,5534,10147,11477,804,
Illinois,IL,IL-01,1,138,559311,220450,33367,293775,9074,2020,9,
Illinois,IL,IL-02,2,139,562058,228129,53387,270970,5556,2821,144,
Illinois,IL,IL-03,3,140,474538,243668,168588,28144,31199,2070,75,
Illinois,IL,IL-04,4,141,415585,146426,221041,28295,18049,1164,4,
Illinois,IL,IL-05,5,142,548896,431915,50102,17163,46300,2071,280,
Illinois,IL,IL-06,6,143,540708,426260,54084,31316,27456,1122,69,
Illinois,IL,IL-07,7,144,521945,186870,51172,244191,37016,2027,132,
Illinois,IL,IL-08,8,145,492703,334285,72456,24633,57981,1898,202,
Illinois,IL,IL-09,9,146,516362,359702,46228,45681,61165,2280,258,
Illinois,IL,IL-10,10,147,500521,359497,69153,36240,32212,2442,130,
Illinois,IL,IL-11,11,148,523088,388872,64536,34050,33168,2060,63,
Illinois,IL,IL-12,12,149,588264,532954,11314,34272,4979,4127,131,
Illinois,IL,IL-13,13,150,582369,433035,16689,113265,14725,3786,297,
Illinois,IL,IL-14,14,151,518611,361436,77529,54336,22178,2174,342,
Illinois,IL,IL-15,15,152,592039,553710,10009,20237,4156,3548,293,
Illinois,IL,IL-16,16,153,557840,512881,20663,13936,7663,2808,132,
Illinois,IL,IL-17,17,154,569578,446460,38264,72915,7811,2951,99,
Indiana,IN,IN-01,1,155,550708,372491,68978,99233,6580,3098,115,
Indiana,IN,IN-02,2,156,539255,462402,29193,36729,6083,4217,214,
Indiana,IN,IN-03,3,157,537776,472659,19306,33449,8038,3726,194,
Indiana,IN,IN-04,4,158,547390,494650,18281,20180,10592,3348,158,
Indiana,IN,IN-05,5,159,547643,482839,13414,34595,12778,3334,181,
Indiana,IN,IN-06,6,160,527315,479306,12317,21621,9986,3544,27,
Indiana,IN,IN-07,7,161,527256,307148,26445,180104,8904,3282,153,
Indiana,IN,IN-08,8,162,578952,536090,7914,25485,5210,3955,138,
Indiana,IN,IN-09,9,163,576926,536489,10344,18384,7340,3827,78,
Kansas,KS,KS-01,1,164,736308,568307,107179,29777,20335,15656,1633,
