state,year,district,DemVotesMajorPercent,incumb_district,midterm,house_party_in_power_at_election,pres_party_in_power_at_election,mean_dem_natl_gb_margin,total_avg_rating,democratic_house,democratic_president,midterm_election,previous_voteshare
Florida,2020,6,39.37,1,pres,D,R,7.4,-4,1,0,0,43.69
Florida,2020,7,56.14,1,pres,D,R,7.4,4,1,0,0,57.69
Florida,2020,8,38.65,1,pres,D,R,7.4,-4,1,0,0,39.5
Florida,2020,9,56.03,1,pres,D,R,7.4,4,1,0,0,58.02
Florida,2020,10,63.62,1,pres,D,R,7.4,4,1,0,0,64.87
Florida,2020,11,33.28,1,pres,D,R,7.4,-4,1,0,0,34.85
Florida,2020,12,37.12,1,pres,D,R,7.4,-4,1,0,0,40.57
Florida,2020,13,53.04,1,pres,D,R,7.4,4,1,0,0,57.64
Florida,2020,14,60.26,1,pres,D,R,7.4,4,1,0,0,61.79
Florida,2020,15,44.61,0,pres,D,R,7.4,-2,1,0,0,46.98
Florida,2020,16,44.5,1,pres,D,R,7.4,-3,1,0,0,45.44
Florida,2020,17,34.52,1,pres,D,R,7.4,-4,1,0,0,37.74
Florida,2020,18,42.43,1,pres,D,R,7.4,-3,1,0,0,45.7
Florida,2020,19,38.72,0,pres,D,R,7.4,-4,1,0,0,37.73
Florida,2020,20,78.68,1,pres,D,R,7.4,4,1,0,0,80.31
Florida,2020,21,60.15,1,pres,D,R,7.4,4,1,0,0,64.08
Florida,2020,22,58.6,1,pres,D,R,7.4,4,1,0,0,62.02
Florida,2020,23,58.2,1,pres,D,R,7.4,4,1,0,0,61.91
Florida,2020,24,78.74,1,pres,D,R,7.4,4,1,0,0,89.45
Florida,2020,26,48.28,1,pres,D,R,7.4,1.555555556,1,0,0,50.87
Florida,2020,27,48.63,1,pres,D,R,7.4,3.444444444,1,0,0,53.08
Georgia,2020,1,41.65,1,pres,D,R,7.4,-4,1,0,0,42.26
Georgia,2020,2,59.12,1,pres,D,R,7.4,4,1,0,0,59.65
Georgia,2020,3,34.95,1,pres,D,R,7.4,-4,1,0,0,34.47
Georgia,2020,4,80.08,1,pres,D,R,7.4,4,1,0,0,78.85
Georgia,2020,5,85.15,0,pres,D,R,7.4,4,1,0,0,84.44
Georgia,2020,6,54.59,1,pres,D,R,7.4,3,1,0,0,50.51
Georgia,2020,7,51.39,0,pres,D,R,7.4,1.555555556,1,0,0,49.93
Georgia,2020,8,35.48,1,pres,D,R,7.4,-4,1,0,0,32.36
Georgia,2020,9,21.42,0,pres,D,R,7.4,-4,1,0,0,20.49
Georgia,2020,10,37.69,1,pres,D,R,7.4,-4,1,0,0,37.11
Georgia,2020,11,39.57,1,pres,D,R,7.4,-4,1,0,0,38.21
Georgia,2020,12,41.62,1,pres,D,R,7.4,-4,1,0,0,40.52
Georgia,2020,13,77.4,1,pres,D,R,7.4,4,1,0,0,76.18
Georgia,2020,14,25.29,0,pres,D,R,7.4,-4,1,0,0,23.5
Hawaii,2020,1,72.02,1,pres,D,R,7.4,4,1,0,0,76.01
Hawaii,2020,2,67.12,0,pres,D,R,7.4,4,1,0,0,77.36
